aluminium;arsenic;barium;copper;iron;zinc;lead;mercury;silver;cadmium;radium;selenium;is_safe
0.094289466;0.259155148;0.139449583;0.112397687;0.852010082;0.708693384;0.180470355;0.265767139;0.286101248;0.699833409;0.291651591;0.740818258;0
0.094289466;0.036102833;0.385927734;0.307646743;0.568727187;0.062260175;0.270555937;0.628386364;0.684113454;0.813800989;0.405619171;0.854785838;0
0.64816209;0.847535448;0.240010697;0.360386183;0.568727187;0.094017762;0.78099763;0.005008903;0.167187279;0.481203318;0.0730215;0.522188166;0
0.784339548;0.547567782;0.000493229;0.591917458;0.568727187;0.778711084;0.25494285;0.090513399;0.848282022;0.456549456;0.048367638;0.497534304;0
0.269539964;0.464358198;0.460178319;0.363642419;0.569986484;0.343886411;0.824231342;0.131450945;0.138764347;0.366603843;0.041577975;0.414518354;0
0.925485919;0.245019182;0.768037956;0.266942094;0.167052724;0.803141137;0.779004659;0.715564826;0.803062097;0.757331059;0.349149241;0.798315908;0
0.97760136;0.572463939;0.768155284;0.247069298;0.464522095;0.763750423;0.149713022;0.118283454;0.657901842;0.881946072;0.473764254;0.92293092;0
0.983988284;0.212654419;0.951352384;0.616633527;0.736248623;0.598862911;0.5807314;0.228746352;0.556955847;0.556617375;0.148435557;0.597602223;0
0.57603062;0.353451286;0.881387494;0.430739226;0.580541729;0.455675488;0.47728052;0.776661777;0.476393349;0.910816149;0.502634331;0.951800997;0
0.57603062;0.938631299;0.395778974;0.23488212;0.717308024;0.703457657;0.101166196;0.338247127;0.517407572;0.962290959;0.554109141;0.003275807;0
0.186095825;0.938227571;0.190447347;0.270626115;0.168368249;0.010166418;0.393523712;0.756060372;0.390186124;0.340370173;0.067811645;0.392656963;0
0.570198825;0.67895275;0.370235459;0.624165965;0.24691706;0.768420655;0.072782243;0.616811966;0.057576821;0.410606174;0.002424356;0.451591023;0
0.03541848;0.206350074;0.374437173;0.221132125;0.24691706;0.971122701;0.497123678;0.803056858;0.667659779;0.712321793;0.304139975;0.753306641;0
0.270935211;0.404954615;0.606400922;0.179430253;0.831095718;0.574621883;0.537360303;0.618299788;0.573037024;0.569613572;0.161431754;0.61059842;0
0.270935211;0.272979053;0.726904359;0.294762545;0.753880492;0.228152863;0.319409735;0.234687415;0.038716607;0.424042828;0.01586101;0.465027677;0
0.447964322;0.293086535;0.172662183;0.58381872;0.753880492;0.120188304;0.829823043;0.529443269;0.524822339;0.735568921;0.327387103;0.776553769;0
0.007152965;0.446472522;0.022573511;0.877675189;0.578687735;0.374143267;0.847567197;0.608462069;0.386531891;0.824926635;0.416744817;0.865911483;0
0.325437453;0.355379333;0.231193178;0.137255474;0.578687735;0.640521258;0.271337821;0.306170895;0.687963517;0.663394666;0.255212848;0.704379515;0
0.196484299;0.523974233;0.291232681;0.579852629;0.054016013;0.064818311;0.42205043;0.165554467;0.961474993;0.635945806;0.227763987;0.676930654;0
0.19260944;0.551315266;0.412407858;0.698966064;0.054016013;0.540797364;0.536795449;0.228810093;0.802304879;0.511802243;0.103620424;0.552787091;0
0.252158965;0.944822923;0.033240866;0.028723233;0.550619484;0.591295579;0.618688878;0.304596995;0.213531817;0.563767874;0.155586056;0.604752722;0
0.252158965;0.854195648;0.018440889;0.798130076;0.550619484;0.205905543;0.087995372;0.651184272;0.27817763;0.579680788;0.17149897;0.620665636;0
